Arrival Chickens Date;Death;Chickens;Date of Laid;Eggs;Laied;Water;Feed;Date of Selling;# Eggs sold (First quality);# Eggs sold (Second quality)
19/07/2018;10;42009;01/09/2018;31770;0.756266514;100.0;97.0;;0;0
19/07/2018;11;41998;02/09/2018;31960;0.760988619;101.0;105.5;;0;0
19/07/2018;11;41987;03/09/2018;33520;0.798342344;104.5;102.0;03/09/2018;87750;0
19/07/2018;8;41979;04/09/2018;35440;0.84423164;107.0;119.5;;0;0
19/07/2018;11;41968;05/09/2018;35300;0.841117042;110.0;113.0;05/09/2018;66450;0
19/07/2018;10;41958;06/09/2018;36310;0.865389199;110.5;119.0;;0;0
19/07/2018;10;41948;07/09/2018;38340;0.913988748;111.0;115.5;07/09/2018;68990;8270
19/07/2018;9;41939;08/09/2018;35650;0.850044112;112.0;111.0;;0;0
19/07/2018;9;41930;09/09/2018;37540;0.895301693;107.5;121.5;;0;0
19/07/2018;9;41921;10/09/2018;38070;0.908136733;117.5;118.0;10/09/2018;107880;0
19/07/2018;6;41915;11/09/2018;37240;0.88846475;120.0;116.0;;0;0
19/07/2018;8;41907;12/09/2018;39690;0.947097144;119.5;119.0;12/09/2018;72810;0
19/07/2018;9;41898;13/09/2018;38380;0.916034178;121.5;129.0;13/09/2018;38400;8280
19/07/2018;10;41888;14/09/2018;38990;0.930815508;123.5;110.5;14/09/2018;37380;0
19/07/2018;8;41880;15/09/2018;39080;0.933142311;125.5;108.0;;0;0
19/07/2018;9;41871;16/09/2018;39770;0.949822073;128.5;120.0;;0;0
19/07/2018;8;41863;17/09/2018;38405;0.917397224;128.0;123.0;17/09/2018;114750;0
19/07/2018;9;41854;18/09/2018;39350;0.940172982;126.0;118.5;;0;0
19/07/2018;7;41847;19/09/2018;39780;0.950605778;129.0;120.5;19/09/2018;64720;7620
19/07/2018;7;41840;20/09/2018;40095;0.958293499;144.0;117.0;;0;0
19/07/2018;9;41831;21/09/2018;39890;0.953599006;138.5;117.5;21/09/2018;77730;0
19/07/2018;8;41823;22/09/2018;40010;0.956650647;138.0;118.5;;0;0
19/07/2018;8;41815;23/09/2018;40400;0.966160469;135.0;121.0;;0;0
19/07/2018;9;41806;24/09/2018;41390;0.990049275;138.0;125.5;24/09/2018;117450;0
19/07/2018;6;41800;25/09/2018;39650;0.948564593;139.0;121.5;25/09/2018;40500;0
19/07/2018;7;41793;26/09/2018;40610;0.971693824;140.5;118.0;26/09/2018;38880;0
19/07/2018;8;41785;27/09/2018;40130;0.960392485;130.5;117.5;;0;0
19/07/2018;9;41776;28/09/2018;40780;0.97615856;143.5;122.0;28/09/2018;79230;8100
19/07/2018;10;41766;29/09/2018;40070;0.959392808;132.0;111.0;;0;0
19/07/2018;9;41757;30/09/2018;40950;0.980673899;149.0;122.0;;0;0
19/07/2018;9;41748;01/10/2018;40380;0.967231963;144.5;117.0;01/10/2018;118950;0
19/07/2018;7;41741;02/10/2018;40520;0.970748185;141.5;120.0;;0;0
19/07/2018;8;41733;03/10/2018;40600;0.972851221;148.0;123.0;03/10/2018;79410;0
19/07/2018;6;41727;04/10/2018;40690;0.975147986;137.0;116.0;;0;0
19/07/2018;7;41720;05/10/2018;40880;0.979865772;145.0;122.0;05/10/2018;79470;6080
19/07/2018;6;41714;06/10/2018;39880;0.956033945;127.5;118.0;;0;0
19/07/2018;5;41709;07/10/2018;41660;0.998825194;137.5;119.5;;0;0
19/07/2018;9;41700;08/10/2018;40650;0.974820144;133.5;122.0;08/10/2018;119820;0
19/07/2018;7;41693;09/10/2018;40430;0.969707145;137.5;119.0;;0;0
19/07/2018;7;41686;10/10/2018;40400;0.969150314;140.5;119.5;10/10/2018;79350;0
19/07/2018;7;41679;11/10/2018;39640;0.951078481;139.0;114.0;;0;0
19/07/2018;8;41671;12/10/2018;41090;0.98605745;139.0;122.5;12/10/2018;78450;5990
19/07/2018;7;41664;13/10/2018;41130;0.98718318;147.5;128.0;;0;0
19/07/2018;7;41657;14/10/2018;40650;0.975826392;144.5;122.0;;0;0
19/07/2018;7;41650;15/10/2018;40850;0.980792317;144.5;120.0;15/10/2018;120360;0
19/07/2018;7;41643;16/10/2018;40610;0.97519391;141.0;119.5;;0;0
19/07/2018;8;41635;17/10/2018;41270;0.991233337;139.5;118.0;17/10/2018;79800;0
19/07/2018;8;41627;18/10/2018;39630;0.952026329;147.0;122.0;;0;0
19/07/2018;7;41620;19/10/2018;40790;0.980057665;143.0;118.0;19/10/2018;79350;5940
19/07/2018;7;41613;20/10/2018;40660;0.977098503;139.0;114.0;;0;0
19/07/2018;7;41606;21/10/2018;41130;0.988559342;138.5;115.0;;0;0
19/07/2018;7;41599;22/10/2018;40660;0.977427342;141.0;123.0;22/10/2018;119800;0
19/07/2018;7;41592;23/10/2018;41550;0.99899019;139.5;115.0;;0;0
19/07/2018;6;41586;24/10/2018;40790;0.980858943;138.0;123.0;24/10/2018;80430;0
19/07/2018;8;41578;25/10/2018;40710;0.979123575;137.5;122.5;;0;0
19/07/2018;10;41568;26/10/2018;40810;0.981764819;132.5;116.0;26/10/2018;79680;6460
19/07/2018;7;41561;27/10/2018;41050;0.987704819;129.5;117.0;;0;0
19/07/2018;6;41555;28/10/2018;40790;0.981590663;142.5;125.5;;0;0
19/07/2018;9;41546;29/10/2018;41120;0.989746305;134.0;116.5;29/10/2018;120180;0
19/07/2018;7;41539;30/10/2018;40420;0.97306146;141.5;128.0;;0;0
19/07/2018;7;41532;31/10/2018;40740;0.980930367;139.0;124.0;31/10/2018;79950;0
19/07/2018;8;41524;01/11/2018;41150;0.990993161;137.5;128.0;;0;0
19/07/2018;6;41518;02/11/2018;40210;0.968495592;128.0;104.5;02/11/2018;79980;6210
19/07/2018;8;41510;03/11/2018;40660;0.979523007;138.0;129.0;;0;0
19/07/2018;6;41504;04/11/2018;41100;0.990265998;134.5;121.0;;0;0
19/07/2018;8;41496;05/11/2018;40400;0.973587816;138.0;129.0;05/11/2018;119280;0
19/07/2018;7;41489;06/11/2018;40470;0.975439273;133.5;129.0;;0;0
19/07/2018;7;41482;07/11/2018;40080;0.966202208;137.5;134.5;07/11/2018;79020;0
19/07/2018;8;41474;08/11/2018;40740;0.982302165;134.5;119.0;;0;0
19/07/2018;8;41466;09/11/2018;40300;0.971880577;133.0;122.0;09/11/2018;78780;6220
19/07/2018;6;41460;10/11/2018;40710;0.981910275;131.5;126.0;;0;0
19/07/2018;8;41452;11/11/2018;40830;0.984994693;137.5;130.0;;0;0
19/07/2018;7;41445;12/11/2018;41230;0.994812402;130.0;125.0;12/11/2018;118320;0
19/07/2018;8;41437;13/11/2018;40410;0.975215387;132.0;129.5;;0;0
19/07/2018;8;41429;14/11/2018;40470;0.976851964;133.0;128.0;14/11/2018;79080;0
19/07/2018;8;41421;15/11/2018;40750;0.983800488;132.0;133.5;;0;0
19/07/2018;6;41415;16/11/2018;40770;0.984425933;132.0;115.5;16/11/2018;79260;8150
19/07/2018;8;41407;17/11/2018;40570;0.979786027;132.0;128.0;;0;0
19/07/2018;6;41401;18/11/2018;40340;0.9743726;132.0;118.5;;0;0
19/07/2018;7;41394;19/11/2018;40880;0.987582741;139.5;117.0;19/11/2018;119070;0
19/07/2018;9;41385;20/11/2018;40540;0.979581974;147.5;124.0;;0;0
19/07/2018;7;41378;21/11/2018;41070;0.992556431;147.0;119.5;21/11/2018;80040;0
19/07/2018;7;41371;22/11/2018;40860;0.987648353;151.0;119.5;;0;0
19/07/2018;7;41364;23/11/2018;40800;0.986364955;160.0;128.0;23/11/2018;80400;0
19/07/2018;8;41356;24/11/2018;40600;0.981719702;157.0;125.5;;0;0
19/07/2018;6;41350;25/11/2018;41040;0.992503023;151.5;119.5;;0;0
19/07/2018;7;41343;26/11/2018;36350;0.879229858;156.5;118.5;26/11/2018;119700;0
19/07/2018;8;41335;27/11/2018;41000;0.991895488;150.0;125.0;27/11/2018;34550;8280
19/07/2018;6;41329;28/11/2018;40000;0.967843403;154.0;122.0;;0;0
19/07/2018;8;41321;29/11/2018;40900;0.989811476;155.0;121.0;29/11/2018;79110;0
19/07/2018;7;41314;30/11/2018;40850;0.98876894;154.0;112.5;30/11/2018;39930;0
19/07/2018;6;41308;01/12/2018;40920;0.990607146;157.5;120.0;;0;0
19/07/2018;11;41297;02/12/2018;41240;0.998619754;153.0;122.0;;0;0
19/07/2018;10;41287;03/12/2018;40980;0.992564245;162.5;118.5;03/12/2018;120810;0
19/07/2018;7;41280;04/12/2018;40890;0.990552326;163.0;126.0;;0;0
19/07/2018;6;41274;05/12/2018;40380;0.978339875;152.5;127.0;05/12/2018;80550;6330
19/07/2018;7;41267;06/12/2018;40380;0.978505828;152.5;126.5;;0;0
19/07/2018;7;41260;07/12/2018;40360;0.978187106;156.5;121.0;07/12/2018;79680;0
19/07/2018;7;41253;08/12/2018;39540;0.958475747;158.5;123.0;;0;0
19/07/2018;8;41245;09/12/2018;40370;0.978785307;163.0;127.0;;0;0
19/07/2018;8;41237;10/12/2018;40620;0.985037709;175.5;126.5;10/12/2018;120180;0
19/07/2018;6;41231;11/12/2018;40520;0.982755694;171.5;125.0;;0;0
19/07/2018;8;41223;12/12/2018;40710;0.987555491;164.0;120.0;12/12/2018;80250;0
19/07/2018;8;41215;13/12/2018;40790;0.98968822;171.0;125.5;13/12/2018;80580;4630
19/07/2018;6;41209;14/12/2018;40770;0.989346987;161.5;118.0;;0;0
19/07/2018;7;41202;15/12/2018;40500;0.982961992;171.5;122.5;;0;0
19/07/2018;7;41195;16/12/2018;40670;0.987255735;172.0;124.5;;0;0
19/07/2018;7;41188;17/12/2018;40440;0.981839371;163.5;129.0;17/12/2018;120600;0
19/07/2018;7;41181;18/12/2018;40640;0.986862874;170.0;119.0;;0;0
19/07/2018;7;41174;19/12/2018;40320;0.979258756;167.5;119.0;19/12/2018;80100;0
19/07/2018;7;41167;20/12/2018;39960;0.970680399;169.5;120.0;;0;0
19/07/2018;7;41160;21/12/2018;40110;0.974489796;169.0;123.0;21/12/2018;79470;0
19/07/2018;8;41152;22/12/2018;41500;1.008456454;168.5;120.5;;0;0
19/07/2018;8;41144;23/12/2018;40190;0.976813144;170.0;124.5;;0;0
19/07/2018;10;41134;24/12/2018;40650;0.988233578;165.0;126.5;24/12/2018;119610;0
19/07/2018;7;41127;25/12/2018;39330;0.956306076;168.0;120.0;;0;0
19/07/2018;7;41120;26/12/2018;40800;0.992217899;168.0;116.5;;0;0
19/07/2018;8;41112;27/12/2018;40590;0.987302977;169.0;113.0;27/12/2018;119550;0
19/07/2018;9;41103;28/12/2018;40230;0.978760674;164.0;116.0;28/12/2018;40110;0
19/07/2018;7;41096;29/12/2018;40290;0.980387386;165.0;119.5;;0;0
19/07/2018;9;41087;30/12/2018;40080;0.975491031;171.0;119.0;;0;0
19/07/2018;7;41080;31/12/2018;40200;0.978578384;163.5;115.5;31/12/2018;119580;0
19/07/2018;8;41072;01/01/2019;39930;0.972195169;164.5;118.0;;0;0
19/07/2018;6;41066;02/01/2019;40170;0.978181464;168.5;115.5;02/01/2019;79530;4650
19/07/2018;7;41059;03/01/2019;40110;0.976886919;163.5;115.0;;0;0
19/07/2018;7;41052;04/01/2019;40830;0.994592224;169.5;116.0;04/01/2019;79620;0
19/07/2018;7;41045;05/01/2019;39300;0.957485686;157.0;115.0;;0;0
19/07/2018;7;41038;06/01/2019;40230;0.980310931;170.5;117.0;;0;0
19/07/2018;9;41029;07/01/2019;40290;0.98198835;167.0;123.0;07/01/2019;119280;0
19/07/2018;7;41022;08/01/2019;39620;0.965823217;170.0;122.5;;0;0
19/07/2018;7;41015;09/01/2019;40100;0.977691089;161.5;122.0;09/01/2019;79290;0
19/07/2018;7;41008;10/01/2019;39990;0.975175575;160.5;117.0;;0;0
19/07/2018;6;41002;11/01/2019;40170;0.979708307;166.0;120.0;11/01/2019;79410;0
19/07/2018;8;40994;12/01/2019;39900;0.973313168;167.0;125.5;;0;0
19/07/2018;6;40988;13/01/2019;39900;0.973455646;168.0;118.0;;0;0
19/07/2018;8;40980;14/01/2019;40249;0.98216203;169.0;122.0;14/01/2019;119040;0
19/07/2018;8;40972;15/01/2019;40230;0.981890071;167.0;113.5;;0;0
19/07/2018;7;40965;16/01/2019;39690;0.96887587;170.5;123.0;16/01/2019;79740;4650
19/07/2018;8;40957;17/01/2019;39840;0.972727495;163.5;120.5;17/01/2019;78930;0
19/07/2018;6;40951;18/01/2019;40230;0.982393592;170.0;120.5;;0;0
19/07/2018;8;40943;19/01/2019;39720;0.970129204;163.5;126.0;;0;0
19/07/2018;7;40936;20/01/2019;39750;0.971027946;167.5;125.5;;0;0
19/07/2018;8;40928;21/01/2019;39810;0.972683737;168.0;128.0;21/01/2019;118740;0
19/07/2018;8;40920;22/01/2019;40110;0.980205279;167.5;115.5;;0;0
19/07/2018;8;40912;23/01/2019;39590;0.967686742;167.5;121.0;23/01/2019;79260;0
19/07/2018;6;40906;24/01/2019;39690;0.97027331;170.5;121.5;;0;0
19/07/2018;7;40899;25/01/2019;39690;0.970439375;164.5;124.0;25/01/2019;78630;0
19/07/2018;7;40892;26/01/2019;39700;0.970850044;169.0;129.0;;0;0
